ride_date,source_year,total_rides,total_revenue,avg_fare
2021-09-20,2021,92218,1961822.201277852,21.273744835908957
2021-09-21,2021,99868,2010657.1208552122,20.13314696254268
2021-09-22,2021,105877,2107828.0008488894,19.908270926158554
2021-09-23,2021,104169,2169965.97993201,20.83120678831524
2021-09-24,2021,109419,2380637.9584026933,21.757080199989886
2021-09-25,2021,112977,2224799.619322121,19.692500414439408
2021-09-26,2021,91222,1925670.2822807431,21.109713471319893
2021-09-27,2021,93752,1921986.38233912,20.500750728935063
2021-09-28,2021,100970,1949754.1823385954,19.310232567481386
2021-09-29,2021,108179,2123662.271508038,19.6310029812444
2021-09-30,2021,114951,2355760.929191828,20.493609704933647
2022-09-01,2022,106962,2385832.5288695693,22.30542182148398
2022-09-02,2022,103320,2304575.9896537047,22.305226380697878
2022-09-03,2022,96934,2056155.8804193232,21.21191615345826
2022-09-04,2022,88481,1982512.5509647727,22.406082107625057
2022-09-05,2022,80419,1974702.9129410982,24.555178663513576
2022-09-06,2022,102106,2322839.5596659184,22.74929543480225
2022-09-07,2022,118921,2602883.0670743883,21.887497305559055
2022-09-08,2022,124662,2807083.5751978345,22.51755607320462
2022-09-09,2022,125174,2814153.5960169435,22.4819339161243
2022-09-10,2022,117628,2583757.8265380263,21.965499936562946
2022-09-11,2022,101167,2326771.9901385307,22.999317861936508
2022-09-12,2022,110826,2542585.319262624,22.942137397926693
2022-09-13,2022,122003,2720698.317399204,22.30025751333331
2022-09-14,2022,124052,2793831.526669055,22.521454927522775
2022-09-15,2022,127956,2913156.926857719,22.76686460078245
2022-09-16,2022,125862,2847786.4965028763,22.626261274275606
2022-09-17,2022,59501,1271677.6447575688,21.372374325768792
2022-09-18,2022,4229,127162.68976211548,30.06921015893012
2022-09-19,2022,105585,2457723.398597181,23.277202240821904
2022-09-20,2022,106678,2543743.097378671,23.845058000512488
2022-09-21,2022,102864,2559346.117649287,24.880872974503102
2022-09-22,2022,109086,2598705.088017702,23.822535320918377
2022-09-23,2022,119173,2765694.578310609,23.207392432099628
2022-09-24,2022,117453,2690049.273459345,22.903197648926337
2022-09-25,2022,99174,2259836.661211163,22.786583794252152
2022-09-26,2022,97024,2174940.5626193583,22.416521300084085
2022-09-27,2022,113328,2436716.1606095433,21.501448544133343
2022-09-28,2022,122550,2670550.077522978,21.791514300473096
2022-09-29,2022,126801,2843769.7868655324,22.42702965170253
2022-09-30,2022,123771,2755818.658314407,22.265463301697544
2023-09-01,2023,86684,2624408.439394474,30.275580723022404
2023-09-02,2023,82424,2486520.7151691914,30.167435639731043
2023-09-03,2023,79000,2306912.529098749,29.20142441897151
2023-09-04,2023,72691,2321757.369914064,31.940093958180025
2023-09-05,2023,102694,3213214.3125223015,31.289211760397894
2023-09-06,2023,117759,3425877.21819067,29.09227505490595
2023-09-07,2023,129391,3761284.107755184,29.06913237980373
2023-09-08,2023,124668,3729095.4181773663,29.912210175645445
2023-09-09,2023,117255,3306228.3774003983,28.19690740181995
2023-09-10,2023,105142,3100763.6181184053,29.49119874187675
2023-09-11,2023,107401,3338740.7594736814,31.086682242005953
2023-09-12,2023,119000,3599307.9178494215,30.24628502394472
2023-09-13,2023,118623,3473394.937417388,29.280956790988157
2023-09-14,2023,125129,3734672.257022977,29.846576389350005
2023-09-15,2023,116571,3436507.0282526016,29.479948085309395
2023-09-16,2023,111808,3030192.7378172968,27.10175244899557
2023-09-17,2023,95051,3017555.408333063,31.74669817606404
2023-09-18,2023,96460,3093251.4894023035,32.06771189510992
2023-09-19,2023,104565,3151956.027933359,30.14350908940237
2023-09-20,2023,108434,3308690.777986288,30.513407030878582
2023-09-21,2023,41939,1234013.3884837627,29.424006020261874
2023-09-22,2023,4633,138994.74002242088,30.001023100026092
2023-09-23,2023,5732,158536.01990295388,27.658063486209677
2023-09-24,2023,4813,132650.25991296768,27.560826908989753
2023-09-25,2023,91341,2605411.4494383335,28.52400838000825
2023-09-26,2023,112520,3262413.6280384064,28.994077746519785
2023-09-27,2023,119199,3451094.497804463,28.952377937771818
2023-09-28,2023,127429,3792876.368218679,29.76462475746242
2023-09-29,2023,105091,3503113.499511957,33.33409615963267
2023-09-30,2023,113243,3040440.7267525196,26.848818264727353
2024-09-01,2024,89517,2567290.4881419037,28.67936244670737
2024-09-02,2024,80373,2550170.108718643,31.72918901519967
2024-09-03,2024,102984,3105436.93798933,30.15455738745174
2024-09-04,2024,118488,3431174.9475723505,28.95799530393247
2024-09-05,2024,130232,3762859.997377634,28.893513094920095
2024-09-06,2024,128739,3614265.037553737,28.0743600428288
2024-09-07,2024,124714,3369151.2262824513,27.015020176423267
2024-09-08,2024,112643,3234012.096619377,28.710280235961196
2024-09-09,2024,108295,3165960.4479441643,29.23459483765792
2024-09-10,2024,121701,3477464.316621918,28.57383519134533
2024-09-11,2024,120419,3355709.9571659565,27.866947551183422
2024-09-12,2024,138551,3954596.687096376,28.542534424842664
2024-09-13,2024,129364,3558099.716935143,27.504558586122435
2024-09-14,2024,133562,3476713.9063506704,26.030711627189397
2024-09-15,2024,113863,3327890.497101711,29.227145755001285
2024-09-16,2024,107265,3130991.047518749,29.189307299853155
2024-09-17,2024,128286,3552564.126953814,27.69253174121739
2024-09-18,2024,135073,3805108.1867976077,28.170753494759186
2024-09-19,2024,142778,4114584.587235369,28.81805731439976
2024-09-20,2024,135447,3847788.5566443466,28.408075163306286
2024-09-21,2024,137881,3716934.155849332,26.957551481707647
2024-09-22,2024,116790,3462882.9760416746,29.65050925628628
2024-09-23,2024,111640,3368712.8072545175,30.174783296797898
2024-09-24,2024,116282,3430588.8073521852,29.502320284757616
2024-09-25,2024,124161,3678017.5472547,29.622969751006355
2024-09-26,2024,132813,3998571.1558940597,30.106775360048037
2024-09-27,2024,124390,3535244.9071958065,28.420652039519307
2024-09-28,2024,142393,3667628.985679025,25.757087677617754
2024-09-29,2024,119604,3317475.047309188,27.737158015695027
2024-09-30,2024,104733,3103915.697459936,29.636463172638386
2098-09-11,2098,1,25.799999237060547,25.799999237060547
