source_year,trip_distance,total_amount
2017,3.4,15.95
2017,5.21,23.3
2017,0.57,5.3
2017,1.1,7.8
2017,6.7,27.36
2017,3.0,14.0
2017,17.71,60.7
2017,2.8,16.55
2017,6.9,26.8
2017,3.01,16.62
2017,2.11,10.8
2017,3.87,18.8
2017,6.75,30.36
2017,4.6,17.93
2017,7.56,28.3
2017,1.6,9.3
2017,1.4,7.8
2017,20.08,70.27
2017,3.7,18.55
2017,3.7,17.25
2017,4.0,19.56
2017,1.8,11.75
2017,10.62,45.06
2017,1.38,8.8
2017,2.29,10.8
2017,0.5,5.8
2017,1.8,10.55
2017,2.58,14.04
2017,11.3,51.56
2017,6.9,25.8
2017,2.3,11.75
2017,3.2,16.55
2017,2.3,12.42
2017,9.6,31.3
2017,0.5,5.3
2017,17.2,68.56
2017,1.14,9.96
2017,4.17,19.56
2017,2.15,13.56
2017,2.57,13.8
2017,7.12,57.36
2017,1.84,13.56
2017,0.99,9.96
2017,4.26,14.3
2017,5.01,18.3
2017,0.82,8.19
2017,0.83,6.8
2017,2.0,11.27
2017,14.22,62.14
2017,12.9,54.66
2017,2.34,12.96
2017,2.6,13.55
2017,0.9,6.8
2017,2.4,12.85
2017,1.21,7.3
2017,0.72,6.96
2017,3.1,12.8
2017,1.63,8.8
2017,5.12,23.16
2017,8.3,29.3
2017,7.04,26.3
2017,1.02,9.12
2017,0.87,9.1
2017,1.94,11.76
2017,1.14,9.96
2017,9.09,36.96
2017,7.69,35.49
2017,0.78,6.8
2017,3.24,17.16
2017,6.7,32.56
2017,2.4,11.8
2017,0.8,5.8
2017,5.28,21.96
2017,1.64,9.3
2017,5.06,22.56
2017,4.0,17.8
2017,1.1,8.3
2017,1.6,10.3
2017,1.23,7.8
2017,2.49,14.04
2017,0.6,6.8
2017,3.19,13.8
2017,0.97,7.3
2017,4.4,15.8
2017,1.1,10.55
2017,2.7,16.55
2017,0.6,5.8
2017,2.4,10.8
2017,16.0,53.75
2017,2.3,81.35
2017,2.0,14.15
2017,2.53,11.3
2017,3.1,15.95
2017,6.0,21.8
2017,5.99,29.16
2017,2.08,10.3
2017,1.6,9.3
2017,4.5,21.0
2017,0.71,6.96
2017,1.05,9.12
2017,3.63,12.8
2017,14.63,48.96
2017,2.73,13.56
2017,3.65,16.8
2017,2.15,12.96
2017,1.06,6.3
2017,5.8,26.15
2017,20.2,70.26
2017,0.83,7.24
2017,5.19,23.16
2017,3.98,16.8
2017,1.41,8.76
2017,2.09,12.43
2017,1.28,9.12
2017,1.59,11.0
2017,1.0,8.75
2017,6.1,24.35
2017,2.7,15.95
2017,1.3,7.82
2017,1.8,11.3
2017,11.11,32.8
2017,21.68,58.34
2017,21.07,131.3
2017,2.6,18.35
2017,1.6,12.95
2017,5.3,25.3
2017,7.52,33.96
2017,1.36,9.3
2017,4.76,23.5
2017,0.96,8.76
2017,2.76,15.36
2017,5.6,25.56
2017,1.91,11.16
2017,3.75,16.56
2017,11.8,43.5
2017,3.0,15.35
2017,9.3,37.85
2017,0.73,8.16
2017,1.82,12.96
2017,0.74,5.8
2017,14.2,45.8
2017,19.9,70.26
2017,0.4,5.52
2017,9.8,36.35
2017,0.9,9.3
2017,20.1,65.81
2017,1.97,10.3
2017,0.73,8.16
2017,2.37,14.76
2017,2.74,12.41
2017,17.08,70.27
2017,1.9,12.25
2017,1.4,8.8
2017,2.31,10.8
2017,0.9,6.8
2017,1.2,8.3
2017,3.4,15.8
2017,18.78,63.56
2017,4.03,13.8
2017,1.61,11.16
2017,0.42,5.76
2017,2.47,14.16
2017,2.43,13.56
2017,3.5,15.3
2017,0.7,6.95
2017,1.1,8.3
2017,1.02,7.3
2017,1.9,10.8
2017,9.1,42.66
2017,4.6,20.75
2017,1.08,7.3
2017,3.45,16.3
2017,2.35,11.3
2017,17.46,70.27
2017,1.2,6.8
2017,4.8,24.1
2017,3.43,15.96
2017,1.94,12.36
2017,0.8,6.3
2017,2.9,14.75
2017,5.8,20.8
2017,1.1,6.8
2017,0.7,7.3
2017,1.6,8.3
2017,3.48,17.76
2017,0.65,6.96
2017,6.3,23.3
2017,3.41,17.76
2017,1.4,8.8
2017,1.2,8.8
2017,2.11,11.76
2017,3.54,14.3
2017,1.82,11.76
2017,2.07,11.76
2017,1.4,8.8
2017,24.6,94.57
2017,3.41,21.3
2017,0.93,8.5
2017,1.81,11.76
2017,2.26,11.84
2017,4.74,20.16
2017,5.96,21.3
2017,2.72,16.56
2017,1.41,10.56
2017,0.63,7.56
2017,1.54,9.8
2017,3.1,14.72
2017,1.42,7.8
2017,3.7,13.8
2017,1.18,8.3
2017,0.8,6.8
2017,0.82,6.8
2017,3.56,17.76
2017,1.92,9.8
2017,19.35,63.36
2017,1.3,10.55
2017,1.3,7.8
2017,0.7,5.8
2017,2.7,11.3
2017,0.87,5.8
2017,2.3,15.35
2017,4.2,18.8
2017,1.2,9.35
2017,2.0,11.15
2017,0.8,7.3
2017,1.4,8.8
2017,1.17,9.75
2017,2.42,11.3
2017,0.77,7.8
2017,2.2,13.55
2017,6.08,21.8
2017,7.4,28.8
2017,2.44,12.3
2017,0.5,5.3
2017,3.05,16.8
2017,6.44,27.96
2017,4.1,30.35
2017,0.8,6.95
2017,2.8,21.06
2017,7.5,29.3
2017,2.9,12.3
2017,2.56,12.36
2017,4.52,23.16
2017,0.85,8.16
2017,1.54,9.8
2017,3.58,18.96
2017,2.82,12.3
2017,1.3,9.35
2017,3.7,16.8
2017,8.1,25.8
2017,12.46,37.8
2017,2.3,9.8
