source_year,pickup_week,pickup_yearweek,payment_type,total_rides,total_revenue,avg_fare
2020,37,2020-W37,1,190199,3396167.3870492876,17.855863527407017
2020,37,2020-W37,2,74659,1081033.545404762,14.479614586382915
2020,37,2020-W37,3,1827,16453.51984357834,9.005757987727607
2020,37,2020-W37,4,1073,-2863.4999939203262,-2.668685921640565
2020,38,2020-W38,0,22486,711520.4402332306,31.642819542525597
2020,38,2020-W38,1,223208,3901297.6755360663,17.478305775492213
2020,38,2020-W38,2,81790,1185064.8950806856,14.489117191352067
2020,38,2020-W38,3,2008,17714.599812716246,8.822011858922433
2020,38,2020-W38,4,1223,-2221.40000975132,-1.8163532377361569
2020,39,2020-W39,0,24198,760929.0905332565,31.445949687298807
2020,39,2020-W39,1,236534,4141717.1341053937,17.51002872358897
2020,39,2020-W39,2,85863,1238741.1248146892,14.42694903293257
2020,39,2020-W39,3,2104,17388.689865589142,8.264586438017654
2020,39,2020-W39,4,1298,-3133.2299890220165,-2.4138905924668848
2020,40,2020-W40,0,11323,358474.45002651215,31.658964057803775
2020,40,2020-W40,1,101663,1768510.7636857126,17.39581522958906
2020,40,2020-W40,2,37001,530757.3079189658,14.344404419312069
2020,40,2020-W40,3,907,8681.909941613674,9.57211680442522
2020,40,2020-W40,4,549,-1189.4899837374687,-2.166648422108322
2021,35,2021-W35,0,27438,924845.3893966675,33.706734798333244
2021,35,2021-W35,1,309120,6662882.516572723,21.554355967173663
2021,35,2021-W35,2,99203,1746246.2158360183,17.602756124673835
2021,35,2021-W35,3,2115,837762.9297830164,396.10540415272646
2021,35,2021-W35,4,1750,-5590.500046789646,-3.194571455308369
2021,36,2021-W36,0,33660,1104015.5490937233,32.79903592078798
2021,36,2021-W36,1,494380,10499742.57036823,21.23820253725521
2021,36,2021-W36,2,139368,2388852.9303804636,17.140612840684113
2021,36,2021-W36,3,2941,28201.649615108967,9.589136217310088
2021,36,2021-W36,4,2500,-8759.230010211468,-3.503692004084587
2021,37,2021-W37,0,34301,1117400.2292814255,32.57631641297412
2021,37,2021-W37,1,531137,10951110.76831126,20.618241185063855
2021,37,2021-W37,2,146605,2456601.5106883347,16.756601143810474
2021,37,2021-W37,3,2945,25101.449752241373,8.523412479538667
2021,37,2021-W37,4,2624,-9646.88000702858,-3.676402441702965
2021,38,2021-W38,0,32316,1049658.9592790604,32.48109169696313
2021,38,2021-W38,1,530632,11220449.045489132,21.14544363228967
2021,38,2021-W38,2,147007,2493546.5985566974,16.96209431222117
2021,38,2021-W38,3,3108,26534.11964160204,8.537361532046988
2021,38,2021-W38,4,2687,-8807.560046970844,-3.2778414763568455
2021,39,2021-W39,0,15139,490151.83961492777,32.37676462216314
2021,39,2021-W39,1,313058,6414221.526489973,20.488923862319357
2021,39,2021-W39,2,86278,1436611.7794699073,16.650962927628218
2021,39,2021-W39,3,1905,15422.079829216003,8.095579962843047
2021,39,2021-W39,4,1472,-5243.460026443005,-3.5621331701379106
2022,35,2022-W35,0,10361,300160.1596815586,28.970192035668237
2022,35,2022-W35,1,290193,6757108.276420571,23.28487687994049
2022,35,2022-W35,2,90951,1679827.5138503015,18.46958817220593
2022,35,2022-W35,3,1906,14975.299836158752,7.856925412465243
2022,35,2022-W35,4,2286,-22994.299881219864,-10.058748854426888
2022,36,2022-W36,0,28189,812438.5690569878,28.821120616445697
