source_year,pickup_week,pickup_yearweek,passenger_count,total_rides,total_revenue,avg_fare
2021,38,2021-W38,2,104601,2216545.8588656187,21.19048440135007
2021,38,2021-W38,3,26699,543320.1772977114,20.349832476786073
2021,38,2021-W38,4,10566,214803.12886595726,20.32965444500826
2021,38,2021-W38,5,16912,336855.07842350006,19.918110124379144
2021,38,2021-W38,6,9446,186634.01909542084,19.757994822720818
2021,38,2021-W38,8,2,101.15000295639038,50.57500147819519
2021,39,2021-W39,0,25444,681489.2888448238,26.783889673196974
2021,39,2021-W39,1,304056,5846689.134402752,19.228987865402267
2021,39,2021-W39,2,54833,1159925.205020249,21.153779749790253
2021,39,2021-W39,3,12873,259107.1388487816,20.127952990661196
2021,39,2021-W39,4,5186,105374.75957131386,20.31908206157228
2021,39,2021-W39,5,10079,193423.12920069695,19.190706339983823
2021,39,2021-W39,6,5377,104971.66948652267,19.52234879793987
2021,39,2021-W39,8,4,183.44000244140625,45.86000061035156
2022,35,2022-W35,0,17883,451047.7386780381,25.222151690322548
2022,35,2022-W35,1,265892,5612896.774021067,21.10968654198346
2022,35,2022-W35,2,69780,1675248.361931622,24.007571824758127
2022,35,2022-W35,3,20489,488594.2975385189,23.846663943507195
2022,35,2022-W35,4,10229,252745.41872307658,24.708712359280142
2022,35,2022-W35,5,6493,139661.06950050592,21.509482442708443
2022,35,2022-W35,6,4926,108393.43950843811,22.00435231596389
2022,35,2022-W35,7,2,196.25,98.125
2022,35,2022-W35,8,1,95.80000305175781,95.80000305175781
2022,35,2022-W35,9,2,197.8000030517578,98.9000015258789
2022,36,2022-W36,0,42271,1102256.8774986863,26.075959345619605
2022,36,2022-W36,1,542568,11813152.401766766,21.772667023795663
2022,36,2022-W36,2,121427,3011725.415429592,24.802765574621723
2022,36,2022-W36,3,29821,713577.5166310668,23.928691748468086
2022,36,2022-W36,4,12657,322253.9983779192,25.460535543803367
2022,36,2022-W36,5,12328,270510.44877672195,21.942768395256486
2022,36,2022-W36,6,8994,197805.07909870148,21.993004124827827
2022,36,2022-W36,7,7,558.6599960327148,79.8085708618164
2022,36,2022-W36,8,4,352.12999725341797,88.03249931335449
2022,37,2022-W37,0,43658,1166583.9974607825,26.720967462109638
2022,37,2022-W37,1,492177,10676772.329583952,21.692952595476733
2022,37,2022-W37,2,91990,2296402.029267788,24.963605057808326
2022,37,2022-W37,3,20615,487443.05775523186,23.64506707519922
2022,37,2022-W37,4,8405,211424.9589241147,25.15466495230395
2022,37,2022-W37,5,10096,217991.08898049593,21.591827355437395
2022,37,2022-W37,6,7479,159541.76923254132,21.331965400794402
2022,37,2022-W37,7,6,491.90000915527344,81.98333485921223
2022,37,2022-W37,8,2,126.84000015258789,63.420000076293945
2022,37,2022-W37,9,1,120.94999694824219,120.94999694824219
2022,38,2022-W38,0,43006,1361077.1326140165,31.648540497000802
2022,38,2022-W38,1,545269,12273415.811715245,22.508919105460322
2022,38,2022-W38,2,113702,2873827.556678593,25.27508361047821
2022,38,2022-W38,3,27181,645449.6068644524,23.74635248388405
2022,38,2022-W38,4,11137,278142.89885383844,24.974669915941316
2022,38,2022-W38,5,11463,252799.33878397942,22.053505956903027
2022,38,2022-W38,6,8248,189763.19910040498,23.007177388506907
2022,38,2022-W38,7,5,404.32000732421875,80.86400146484375
2022,38,2022-W38,8,1,88.30000305175781,88.30000305175781
2022,38,2022-W38,9,1,130.0500030517578,130.0500030517578
2022,39,2022-W39,0,28188,707153.2580849528,25.087032002446175
2022,39,2022-W39,1,430255,9185092.49020134,21.348020337244982
2022,39,2022-W39,2,82353,2020202.2417643666,24.531009699274666
2022,39,2022-W39,3,19331,452488.7280740738,23.407414415916083
2022,39,2022-W39,4,7904,192598.64911466837,24.36723799527687
2022,39,2022-W39,5,9068,190828.4692504406,21.04416290807682
2022,39,2022-W39,6,6371,133120.35943511128,20.894735431660852
2022,39,2022-W39,7,1,91.79000091552734,91.79000091552734
2022,39,2022-W39,8,2,208.10000610351562,104.05000305175781
2022,39,2022-W39,9,1,11.15999984741211,11.15999984741211
2023,35,2023-W35,0,11570,327288.95997333527,28.287723420340125
2023,35,2023-W35,1,163594,4594240.327895403,28.083183539099252
2023,35,2023-W35,2,46092,1666387.4758093357,36.15350767615499
2023,35,2023-W35,3,13027,402372.15995407104,30.88755353911653
2023,35,2023-W35,4,8486,276097.7098312378,32.535671674668606
2023,35,2023-W35,5,3071,88385.48014497757,28.780683863555055
2023,35,2023-W35,6,2268,63069.57005405426,27.80845240478583
2023,36,2023-W36,0,42802,1248977.8297581766,29.180361426058983
2023,36,2023-W36,1,551673,15923444.081906924,28.863917722830234
2023,36,2023-W36,2,117923,3895633.9801347256,33.035404290382075
2023,36,2023-W36,3,26748,841375.219917059,31.455631072119747
2023,36,2023-W36,4,14115,479609.55998826027,33.978714841534554
