source_year,pickup_hour,dropoff_hour,total_rides,total_revenue,avg_fare
2018,4,0,32,804.1099982261658,25.12843744456768
2018,4,1,4,149.33999633789062,37.334999084472656
2018,4,2,1,22.799999237060547,22.799999237060547
2018,4,3,83,1710.3099875450134,20.606144428253174
2018,4,4,63399,997938.0082115829,15.740595407050314
2018,4,5,11878,345911.53812104464,29.122035538057304
2018,4,6,14,1745.6000261306763,124.68571615219116
2018,4,7,2,78.71000099182129,39.355000495910645
2018,4,8,2,459.35998916625977,229.67999458312988
2018,4,14,1,64.55999755859375,64.55999755859375
2018,4,15,1,24.299999237060547,24.299999237060547
2018,5,0,36,902.4299907684326,25.067499743567573
2018,5,1,1,95.05999755859375,95.05999755859375
2018,5,2,1,34.439998626708984,34.439998626708984
2018,5,3,1,58.630001068115234,58.630001068115234
2018,5,4,116,2561.8599801063538,22.08499982850305
2018,5,5,60861,982397.3099933863,16.14165574002048
2018,5,6,18426,571308.4373500943,31.005559391625656
2018,5,7,63,4569.819957733154,72.53682472592308
2018,5,8,3,284.86000061035156,94.95333353678386
2018,5,23,1,17.799999237060547,17.799999237060547
2018,6,0,69,1862.3999876976013,26.991304169530455
2018,6,4,1,12.800000190734863,12.800000190734863
2018,6,5,255,5580.969984054565,21.886156800213982
2018,6,6,140046,1844637.444961667,13.171653920580859
2018,6,7,42389,1065088.6864693165,25.126534866812534
2018,6,8,586,40626.18976306915,69.3279688789576
2018,6,9,9,635.8299942016602,70.64777713351779
2018,6,10,2,14.600000143051147,7.300000071525574
2018,6,13,2,183.9000060558319,91.95000302791595
2018,7,0,80,2722.0700113773346,34.025875142216684
2018,7,6,484,8666.679984092712,17.90636360349734
2018,7,7,224213,2868823.7068066597,12.795081939078733
2018,7,8,73278,1758856.1544325948,24.00251309305105
2018,7,9,1679,116670.60934221745,69.48815327112415
2018,7,10,61,4219.500015258789,69.17213139768506
2018,7,11,6,332.6700019836426,55.445000330607094
2018,7,13,1,50.08000183105469,50.08000183105469
2018,7,15,1,61.0,61.0
2018,7,16,1,8.300000190734863,8.300000190734863
2018,7,23,1,11.329999923706055,11.329999923706055
2018,8,0,62,1795.2000148296356,28.954838948865092
2018,8,2,1,43.560001373291016,43.560001373291016
2018,8,5,1,18.170000076293945,18.170000076293945
2018,8,6,6,294.0099992752075,49.00166654586792
2018,8,7,396,7501.569987297058,18.94335855378045
2018,8,8,256010,3358804.1449310184,13.119816198316544
2018,8,9,89104,2165118.8415458202,24.298783910327487
2018,8,10,1379,92821.32972049713,67.31060893437065
2018,8,11,36,3092.0399742126465,85.88999928368463
2018,8,12,5,190.15999776124954,38.03199955224991
2018,8,13,2,274.2999954223633,137.14999771118164
2018,8,14,1,84.0,84.0
2018,8,15,1,51.060001373291016,51.060001373291016
2018,8,18,1,5.800000190734863,5.800000190734863
2018,9,0,55,1906.6899943351746,34.66709080609408
2018,9,7,5,261.0399971008301,52.20799942016602
2018,9,8,289,5714.779989719391,19.77432522394253
2018,9,9,262943,3513330.734336674,13.361567846783045
2018,9,10,93946,2280933.081493199,24.279193169407947
2018,9,11,901,62489.189884483814,69.35537168089213
2018,9,12,13,906.4900016784668,69.73000012911282
2018,9,13,3,149.70000076293945,49.90000025431315
2018,9,15,1,91.87999725341797,91.87999725341797
2018,9,17,1,85.62000274658203,85.62000274658203
2018,9,18,1,58.560001373291016,58.560001373291016
