pickup_hour,dropoff_hour,total_rides,total_revenue,avg_fare
16,17,794861,35367847.72697835,44.49563851664423
16,18,30047,2898934.544957876,96.47999949938018
16,19,615,65530.61010360718,106.55383756684094
16,20,54,4525.250022888184,83.80092634978118
16,21,22,2128.8500022888184,96.76590919494629
16,22,3,190.47999954223633,63.493333180745445
16,23,14,852.5300006866455,60.89500004904611
17,0,252,13905.270029067993,55.17964297249203
17,1,1,81.94000244140625,81.94000244140625
17,4,1,51.0,51.0
17,5,1,79.0,79.0
17,6,11,555.4700050354004,50.4972731850364
17,7,5,184.9399995803833,36.98799991607666
17,8,9,470.16999435424805,52.241110483805336
17,9,3,94.8499984741211,31.616666158040363
17,10,5,360.2100028991699,72.04200057983398
17,11,3,101.69000053405762,33.896666844685875
17,12,5,148.32999801635742,29.665999603271484
17,13,5,229.1100034713745,45.822000694274905
17,14,4,236.59999656677246,59.149999141693115
17,15,34,1696.4700212478638,49.8961770955254
17,16,409,13314.230033874512,32.553129667174844
17,17,1947799,45076104.96363852,23.14207213559434
17,18,849043,35078602.133603595,41.315460033948334
17,19,15295,1485489.9240396023,97.12258411504428
17,20,303,34504.63013076782,113.87666709824364
17,21,44,4918.090013504028,111.77477303418246
17,22,21,985.39000415802,46.923333531334286
17,23,6,405.86000204086304,67.64333367347717
18,0,245,13674.0599899292,55.81248975481306
18,1,3,152.63000392913818,50.876667976379395
18,2,4,2318.4700317382812,579.6175079345703
18,4,4,116.21999835968018,29.054999589920044
18,5,6,445.3999996185303,74.23333326975505
18,6,10,452.88000679016113,45.288000679016115
18,7,9,473.9900007247925,52.66555563608805
18,8,7,397.3000030517578,56.75714329310826
18,9,7,384.6000032424927,54.94285760607038
18,10,7,259.660005569458,37.094286509922576
18,11,10,580.8599948883057,58.085999488830566
18,12,5,312.69000244140625,62.53800048828125
18,13,5,262.3400001525879,52.46800003051758
18,14,1,85.94000244140625,85.94000244140625
18,15,9,415.5299987792969,46.16999986436632
18,16,33,1984.9200038909912,60.149091026999734
18,17,384,12166.720010757446,31.68416669468085
18,18,2172593,50173485.386844575,23.09382631116117
18,19,777260,30855162.490457453,39.697350295213255
18,20,4962,476198.96151161194,95.96915790238047
18,21,120,13362.220093727112,111.3518341143926
18,22,37,4409.030051231384,119.16297435760498
18,23,14,2336.869956970215,166.91928264072962
19,0,185,11594.150001525879,62.67108108932908
19,1,2,270.29998779296875,135.14999389648438
19,2,1,87.69000244140625,87.69000244140625
19,3,3,237.98000526428223,79.32666842142741
19,4,2,153.4000015258789,76.70000076293945
19,5,4,250.83000564575195,62.70750141143799
19,6,7,916.4800300598145,130.9257185799735
19,7,10,404.6500039100647,40.46500039100647
19,8,7,160.5299997329712,22.93285710471017
19,9,8,313.120005607605,39.14000070095062
19,10,5,63.09999942779541,12.619999885559082
19,11,7,257.7800016403198,36.825714520045686
19,12,3,213.50999450683594,71.16999816894531
19,13,3,167.28000450134277,55.76000150044759
19,14,1,47.9900016784668,47.9900016784668
19,15,5,1127.6900253295898,225.53800506591796
19,16,6,317.7300033569336,52.95500055948893
19,17,40,2264.2800130844116,56.60700032711029
19,18,356,11761.689989089966,33.038455025533615
19,19,1962615,45996581.75786405,23.436375324688772
19,20,632562,25390451.42373827,40.13907162260501
19,21,2249,244331.4308400154,108.64003149845061
19,22,85,7376.130044937134,86.77800052867217
19,23,21,2705.2900161743164,128.82333410353888
20,0,197,13958.050040245056,70.85304588956882
20,1,12,2374.9499740600586,197.91249783833823
20,2,4,366.57999420166016,91.64499855041504
20,3,3,75.8400011062622,25.28000036875407
20,4,2,36.60000038146973,18.300000190734863
20,5,6,367.02000427246094,61.17000071207682
20,6,3,80.9399995803833,26.979999860127766
20,7,4,98.14999961853027,24.53749990463257
20,8,7,197.41000080108643,28.20142868586949
20,9,4,153.92999744415283,38.48249936103821
20,10,7,230.09000396728516,32.870000566755024
20,11,4,111.17999839782715,27.794999599456787
20,12,3,137.0200023651123,45.6733341217041
20,13,6,267.9300022125244,44.65500036875407
20,14,3,54.77999973297119,18.2599999109904
20,15,3,156.28000450134277,52.09333483378092
20,16,2,177.94000244140625,88.97000122070312
20,17,5,218.54000091552734,43.70800018310547
20,18,37,1558.0700025558472,42.11000006907695
20,19,325,10073.760027885437,30.99618470118596
