pickup_year,pickup_week,pickup_yearweek,passenger_count,total_rides,total_revenue,avg_fare
2024,31,2024-W31,6,3418,89893.54999017715,26.30004388243919
2024,31,2024-W31,7,2,196.18000030517578,98.09000015258789
2024,31,2024-W31,8,4,340.79000091552734,85.19750022888184
2024,32,2024-W32,0,80109,1980165.9893284906,24.7183960519853
2024,32,2024-W32,1,485738,13333650.417629838,27.450292992580028
2024,32,2024-W32,2,87192,2812909.4184855223,32.26109526660155
2024,32,2024-W32,3,24163,803312.2598280907,33.24555145586602
2024,32,2024-W32,4,17928,662917.0397518873,36.97663095447832
2024,32,2024-W32,5,5007,143624.76022672653,28.68479333467676
2024,32,2024-W32,6,3242,86305.71991729736,26.62113507627926
2024,32,2024-W32,7,1,6.5,6.5
2024,32,2024-W32,8,1,119.33000183105469,119.33000183105469
2024,32,2024-W32,9,2,120.79999923706055,60.39999961853027
2024,33,2024-W33,0,51275,1249102.3594206125,24.360845624975376
2024,33,2024-W33,1,459305,12422358.627997875,27.045990415949912
2024,33,2024-W33,2,87091,2741079.4484781027,31.473739519331534
2024,33,2024-W33,3,23469,763488.0696094036,32.53176827344171
2024,33,2024-W33,4,16697,596991.7000284195,35.754428941032494
2024,33,2024-W33,5,4736,139054.9502248764,29.361264827887755
2024,33,2024-W33,6,3171,83647.18999814987,26.378804792857103
2024,33,2024-W33,7,1,89.81999969482422,89.81999969482422
2024,33,2024-W33,8,3,200.19000005722046,66.73000001907349
2024,34,2024-W34,0,46120,1123705.469821358,24.364819380341675
2024,34,2024-W34,1,453434,12713159.078615308,28.03750728576884
2024,34,2024-W34,2,87692,2886913.9390859604,32.92106394067829
2024,34,2024-W34,3,23410,779011.0795887709,33.27685090084455
2024,34,2024-W34,4,16212,594149.4498002529,36.64874474464921
2024,34,2024-W34,5,4758,140575.72019720078,29.545128246574354
2024,34,2024-W34,6,3301,89580.36012125015,27.137340236670752
2024,34,2024-W34,8,1,97.05000305175781,97.05000305175781
2024,34,2024-W34,9,1,96.0,96.0
2024,35,2024-W35,0,63381,1515903.1901944336,23.91731260463599
2024,35,2024-W35,1,449406,12521751.72848332,27.862893972228495
2024,35,2024-W35,2,95808,3168344.758478999,33.069730695547335
2024,35,2024-W35,3,24965,821626.9895148277,32.91115519787013
2024,35,2024-W35,4,17548,629879.78000772,35.89467631682927
2024,35,2024-W35,5,4666,141103.40010643005,30.24076298894772
2024,35,2024-W35,6,3151,85335.6000328064,27.082069194797334
2024,35,2024-W35,7,4,266.5,66.625
2024,35,2024-W35,8,3,88.5,29.5
2024,35,2024-W35,9,1,91.0,91.0
2024,36,2024-W36,0,105315,2549428.229741592,24.207645916931035
2024,36,2024-W36,1,538801,15396774.984315533,28.575995561098686
2024,36,2024-W36,2,107860,3610407.3783732653,33.47308898918288
2024,36,2024-W36,3,23239,748547.7596080303,32.21084210198504
2024,36,2024-W36,4,14088,502929.679762125,35.69915387295038
2024,36,2024-W36,5,5279,158549.77031111717,30.034053857002686
2024,36,2024-W36,6,3588,100133.05000185966,27.90776198491072
2024,36,2024-W36,8,3,299.5,99.83333333333333
2024,37,2024-W37,0,135687,3247822.490295179,23.93613603584116
2024,37,2024-W37,1,581884,16390711.891910434,28.168349519681644
2024,37,2024-W37,2,105110,3370995.557008028,32.071121273028524
2024,37,2024-W37,3,21415,640995.4297933578,29.93207703914816
2024,37,2024-W37,4,12138,395084.9499709606,32.5494274156336
2024,37,2024-W37,5,5884,169233.09016418457,28.76157208772681
2024,37,2024-W37,6,3635,101221.120074749,27.84625036444264
2024,37,2024-W37,7,1,79.0,79.0
2024,37,2024-W37,9,3,324.0999984741211,108.03333282470703
2024,38,2024-W38,0,133318,3181527.400501052,23.864199886744863
2024,38,2024-W38,1,617056,17599677.788811684,28.52201062595888
2024,38,2024-W38,2,109584,3532511.8679306507,32.235653634934394
2024,38,2024-W38,3,21980,655566.4096698761,29.82558733711902
2024,38,2024-W38,4,12077,390900.30992269516,32.367335424583516
2024,38,2024-W38,5,5676,163451.0901272297,28.79687986737662
2024,38,2024-W38,6,3823,106649.96008014679,27.896929134226205
2024,38,2024-W38,7,1,84.37999725341797,84.37999725341797
2024,38,2024-W38,8,5,484.4300003051758,96.88600006103516
2024,39,2024-W39,0,118030,2854843.620674515,24.187440656396806
2024,39,2024-W39,1,602738,17371467.20018637,28.82092584205139
2024,39,2024-W39,2,107349,3466273.6477457285,32.289761877108575
2024,39,2024-W39,3,21804,643309.4195487499,29.504192787963213
2024,39,2024-W39,4,12126,391275.7095565796,32.26750037576939
2024,39,2024-W39,5,5492,162633.77016615868,29.61284962967201
2024,39,2024-W39,6,3735,105933.87006092072,28.36248194402161
2024,39,2024-W39,7,4,188.54999923706055,47.13749980926514
2024,39,2024-W39,8,4,204.52999877929688,51.13249969482422
2024,39,2024-W39,9,1,108.94000244140625,108.94000244140625
2024,40,2024-W40,0,77639,1880220.3293541986,24.217472267213626
2024,40,2024-W40,1,558533,15428731.6837461,27.62367072983351
2024,40,2024-W40,2,105944,3398654.118053198,32.0797224765272
