pickup_year,pickup_week,pickup_yearweek,payment_type,total_rides,total_revenue,avg_fare
2024,19,2024-W19,4,14642,27008.16004037857,1.8445676847683767
2024,20,2024-W20,0,123284,3249160.9695791155,26.355090438168094
2024,20,2024-W20,1,653146,20010556.970984057,30.6371882718168
2024,20,2024-W20,2,114822,2788803.867079258,24.288062105513387
2024,20,2024-W20,3,5652,46619.250029563904,8.248274952152142
2024,20,2024-W20,4,14534,362076.04249477386,24.912346394301217
2024,21,2024-W21,0,76590,1935420.2393115181,25.269881698805563
2024,21,2024-W21,1,558709,16904648.71679759,30.2566250352108
2024,21,2024-W21,2,111777,2676174.046936393,23.94208152783124
2024,21,2024-W21,3,5580,44663.74001812935,8.004254483535725
2024,21,2024-W21,4,14702,31677.820027828217,2.154660592288683
2024,22,2024-W22,0,79087,2055272.449063193,25.987487818012987
2024,22,2024-W22,1,571405,17370098.576319218,30.39892646427528
2024,22,2024-W22,2,107297,2567923.056548834,23.932850466917376
2024,22,2024-W22,3,5227,43903.820034980774,8.399429889990582
2024,22,2024-W22,4,14228,28224.980090856552,1.9837630089159792
2024,23,2024-W23,0,116884,2962853.9895561934,25.348670387360063
2024,23,2024-W23,1,633542,19203808.132452965,30.31181536891471
2024,23,2024-W23,2,111229,2629359.8860396147,23.63915782790113
2024,23,2024-W23,3,5612,45453.14008462429,8.099276565328633
2024,23,2024-W23,4,14671,27158.0600637421,1.8511389860092768
2024,24,2024-W24,0,81651,2038020.2094625793,24.960137774951676
2024,24,2024-W24,1,608821,17946429.064286232,29.47734894868316
2024,24,2024-W24,2,108793,2506369.545784712,23.037967017958067
2024,24,2024-W24,3,5625,50169.39996135235,8.91900443757375
2024,24,2024-W24,4,14688,26001.650049686432,1.770264845430721
2024,25,2024-W25,0,73247,1751133.3092452828,23.90723591744758
2024,25,2024-W25,1,584685,17147518.78632331,29.327789812160923
2024,25,2024-W25,2,110932,2589877.797064662,23.346534787659664
2024,25,2024-W25,3,5732,44731.35006260872,7.803794498012686
2024,25,2024-W25,4,15095,27822.89004468918,1.843185826080767
2024,26,2024-W26,0,105456,2691138.38929121,25.519063773433565
2024,26,2024-W26,1,576405,17850414.75686109,30.968528650620815
2024,26,2024-W26,2,107897,2643856.77625823,24.503524437734416
2024,26,2024-W26,3,5645,49223.420085430145,8.719826410173631
2024,26,2024-W26,4,14805,30604.210029110312,2.067153666268849
2024,27,2024-W27,0,37596,938349.5295827668,24.95875969738182
2024,27,2024-W27,1,389011,11994139.306694508,30.83239113211325
2024,27,2024-W27,2,95331,2281577.006622672,23.93321172150373
2024,27,2024-W27,3,5175,40704.13003778458,7.865532374451126
2024,27,2024-W27,4,13551,23667.530077815056,1.7465522897066679
