ride_date,total_rides,total_revenue,avg_fare
2024-09-15,113863,3327890.497101711,29.227145755001285
2024-09-16,107265,3130991.047518749,29.189307299853155
2024-09-17,128286,3552564.126953814,27.69253174121739
2024-09-18,135073,3805108.1867976077,28.170753494759186
2024-09-19,142778,4114584.587235369,28.81805731439976
2024-09-20,135447,3847788.5566443466,28.408075163306286
2024-09-21,137881,3716934.155849332,26.957551481707647
2024-09-22,116790,3462882.9760416746,29.65050925628628
2024-09-23,111640,3368712.8072545175,30.174783296797898
2024-09-24,116282,3430588.8073521852,29.502320284757616
2024-09-25,124161,3678017.5472547,29.622969751006355
2024-09-26,132813,3998571.1558940597,30.106775360048037
2024-09-27,124390,3535244.9071958065,28.420652039519307
2024-09-28,142393,3667628.985679025,25.757087677617754
2024-09-29,119604,3317475.047309188,27.737158015695027
2024-09-30,104745,3104423.3974616528,29.63791491204022
2024-10-01,119133,3297456.477497816,27.67878318767945
2024-10-02,113906,3194952.5773401354,28.049027947080358
2024-10-03,108847,3000280.5873540733,27.564201010170912
2024-10-04,112431,3114345.0071144104,27.70005609764576
2024-10-05,124443,3281832.496174706,26.372174378427925
2024-10-06,103627,3094015.9372901917,29.857237373369795
2024-10-07,102014,3109208.887683153,30.478256785178047
2024-10-08,121402,3471266.5669556856,28.593157995384637
2024-10-09,129915,3675812.6962491274,28.293982190271542
2024-10-10,143206,4074575.0166647527,28.452544004195026
2024-10-11,128821,3623365.3167704437,28.12713235241493
2024-10-12,130159,3334330.015948057,25.61736042800004
2024-10-13,109969,3155244.0364783704,28.69212265709764
2024-10-14,101513,2921769.856667755,28.78222352474811
2024-10-15,128893,3735771.836621899,28.983512189350076
2024-10-16,134891,3913759.256991215,29.01423561980573
2024-10-17,136330,4050859.3965984583,29.713631604184393
2024-10-18,133213,3800298.246379018,28.527983352818552
2024-10-19,135827,3633516.266120076,26.751060290811665
2024-10-20,117129,3432777.9466506336,29.307668866383505
2024-10-21,107430,3258258.5070892572,30.329130662657146
2024-10-22,121106,3479168.0166015625,28.728287752890548
2024-10-23,128223,3714301.1467082594,28.967510873308683
2024-10-24,137337,4017860.266827345,29.25548298584755
2024-10-25,136066,3871890.016963739,28.45597002163464
2024-10-26,148481,3973267.115343867,26.75943127635096
2024-10-27,119822,3462750.187235236,28.899118586196494
2024-10-28,110595,3285059.9679100513,29.70351252687781
2024-10-29,126931,3618327.8863977287,28.506258411244918
2024-10-30,132692,3803414.996660499,28.66348383218656
2024-10-31,129428,3593155.7977865934,27.76181195557834
2024-11-01,137690,4100741.2643463705,29.782418943615152
2024-11-02,137723,3480818.175153274,25.274051357821673
2024-11-03,122355,3332688.536036629,27.23786143628482
2024-11-04,101625,2943476.937104583,28.964102702136117
2024-11-05,97522,2527858.706111312,25.920907140043393
2024-11-06,115498,3215330.6972258277,27.83884307283094
2024-11-07,130018,3685265.786091447,28.34427376279782
2024-11-08,129608,3656080.9961748123,28.208760232198724
2024-11-09,135547,3591503.015123198,26.496366685527512
2024-11-10,113594,3228572.8454025984,28.42203677485253
2024-11-11,99824,2956478.0060150623,29.61690581438394
2024-11-12,127185,3610542.196538806,28.388113350936084
2024-11-13,133298,3822306.2062527128,28.6748953941748
2024-11-14,141642,4065868.7865638733,28.70524834839859
2024-11-15,139683,3865905.2665004823,27.676276042900586
2024-11-16,149939,3816471.7755554914,25.453496258848542
2024-11-17,123375,3450408.776165124,27.966839117853084
2024-11-18,113449,3248307.307536898,28.632313264435105
2024-11-19,125361,3480667.466392517,27.765153966484927
2024-11-20,133043,3743747.8764667604,28.13938257906662
2024-11-21,153149,4404739.956472158,28.761140826725335
2024-11-22,150016,4115170.456638355,27.43154367959654
2024-11-23,134768,3444066.7056904435,25.55552286663335
2024-11-24,108373,2893982.6765125077,26.703908505924055
2024-11-25,104082,2825591.557549715,27.147744639320102
2024-11-26,114424,3167612.8473615646,27.683115844242156
2024-11-27,107719,2999661.79683733,27.847100296487433
2024-11-28,77244,1955979.9785443544,25.32209593682816
2024-11-29,86461,2335121.7284719944,27.00780384765379
2024-11-30,102157,2864533.3962297626,28.040500369331152
2024-12-01,95651,2876390.7473704815,30.071726875521232
